Order_ID,Order_Date,Customer_ID,Product,Region,Quantity,Unit_Price,Payment_Method,Revenue,Profit,Customer_Satisfaction
10001,2025-01-01,1103,Smartwatch,West,1,9056,Credit Card,9056,1704.03,3
10002,2025-01-02,1180,Laptop,East,5,87336,Debit Card,436680,62464.15,3
10003,2025-01-03,1093,Keyboard,East,2,5998,Debit Card,11996,2584.14,4
10004,2025-01-04,1015,Headphones,South,3,76618,UPI,229854,19607.9,3
10005,2025-01-05,1107,Smartphone,West,1,50598,Debit Card,50598,9751.21,1
10006,2025-01-06,1072,Laptop,East,1,64886,Debit Card,64886,6249.66,4
10007,2025-01-07,1189,Monitor,North,1,10069,UPI,10069,1204.86,1
10008,2025-01-08,1021,Mouse,East,3,57382,Cash,172146,18019.8,4
10009,2025-01-09,1103,Keyboard,North,3,70893,UPI,212679,20355.39,3
10010,2025-01-10,1122,Smartphone,South,4,840,Credit Card,3360,861.6,1
10011,2025-01-11,1075,Smartwatch,North,2,44449,UPI,88898,10794.61,3
10012,2025-01-12,1088,Smartphone,East,4,82802,Credit Card,331208,93328.1,4
10013,2025-01-13,1117,Headphones,East,2,62943,Cash,125886,36819.34,3
10014,2025-01-14,1100,Smartwatch,East,3,92168,UPI,276504,53314.15,1
10015,2025-01-15,1104,Headphones,South,3,74527,UPI,223581,19172.13,1
10016,2025-01-16,1152,Monitor,South,4,638,Cash,2552,366.56,3
10017,2025-01-17,1131,Mouse,West,5,858,Credit Card,4290,1070.07,2
10018,2025-01-18,1150,Monitor,East,4,75750,UPI,303000,42979.85,4
10019,2025-01-19,1053,Laptop,North,2,85876,Credit Card,171752,12323.95,4
10020,2025-01-20,1002,Laptop,South,4,31154,UPI,124616,23576.88,3
10021,2025-01-21,1088,Monitor,East,1,26379,Debit Card,26379,6892.31,2
10022,2025-01-22,1158,Mouse,East,2,82032,UPI,164064,40848.92,1
10023,2025-01-23,1038,Monitor,South,2,56278,Cash,112556,10555.59,5
10024,2025-01-24,1130,Mouse,West,5,38272,Cash,191360,41753.06,5
10025,2025-01-25,1192,Mouse,South,3,58978,Credit Card,176934,18600.38,3
10026,2025-01-26,1188,Tablet,South,2,64853,UPI,129706,13561.01,2
10027,2025-01-27,1021,Smartwatch,North,3,27262,Credit Card,81786,21961.01,2
10028,2025-01-28,1161,Keyboard,North,4,13783,Credit Card,55132,6197.79,4
10029,2025-01-29,1058,Mouse,West,1,64422,Debit Card,64422,7460.83,1
10030,2025-01-30,1022,Headphones,East,5,39920,Debit Card,199600,10012.6,2
10031,2025-01-31,1089,Mouse,South,3,56068,Cash,168204,45022.7,5
10032,2025-02-01,1049,Mouse,West,2,85590,Credit Card,171180,42478.1,1
10033,2025-02-02,1059,Mouse,North,3,20719,Cash,62157,12856.07,1
10034,2025-02-03,1170,Tablet,South,2,57669,UPI,115338,27400.44,3
10035,2025-02-04,1188,Smartwatch,East,3,75465,Credit Card,226395,19925.51,2
10036,2025-02-05,1015,Tablet,North,2,47340,Credit Card,94680,15582.52,3
10037,2025-02-06,1190,Laptop,North,4,45195,UPI,180780,24912.36,2
10038,2025-02-07,1190,Tablet,North,2,85254,UPI,170508,12522.81,4
10039,2025-02-08,1175,Headphones,West,2,78488,Cash,156976,26926.5,3
10040,2025-02-09,1190,Headphones,East,1,58842,Cash,58842,16486.64,3
10041,2025-02-10,1051,Tablet,South,2,19451,UPI,38902,2334.69,5
10042,2025-02-11,1108,Smartwatch,West,1,1807,Cash,1807,222.02,3
10043,2025-02-12,1055,Monitor,West,5,80888,UPI,404440,41206.46,2
10044,2025-02-13,1064,Keyboard,West,1,91268,Credit Card,91268,9997.19,5
10045,2025-02-14,1131,Smartwatch,North,4,35928,Credit Card,143712,39823.84,3
10046,2025-02-15,1051,Tablet,East,1,92521,Debit Card,92521,15452.6,3
10047,2025-02-16,1135,Mouse,West,5,76274,Credit Card,381370,63526.65,4
10048,2025-02-17,1021,Smartphone,South,4,39475,UPI,157900,37918.72,3
10049,2025-02-18,1073,Keyboard,East,3,1640,Cash,4920,436.03,1
10050,2025-02-19,1167,Keyboard,South,3,25342,Debit Card,76026,13062.51,5
10051,2025-02-20,1018,Headphones,East,1,26921,Cash,26921,4239.96,1
10052,2025-02-21,1132,Keyboard,South,1,2208,UPI,2208,439.89,5
10053,2025-02-22,1089,Tablet,North,5,4130,Credit Card,20650,6192.72,4
10054,2025-02-23,1060,Mouse,West,5,20095,Debit Card,100475,24351.34,3
10055,2025-02-24,1014,Mouse,South,2,76521,UPI,153042,22874.64,3
10056,2025-02-25,1009,Laptop,East,5,28808,Debit Card,144040,37002.19,3
10057,2025-02-26,1090,Mouse,West,2,45289,Debit Card,90578,8394.51,5
10058,2025-02-27,1053,Smartwatch,West,4,56190,Credit Card,224760,12949.75,3
10059,2025-02-28,1130,Mouse,East,1,26586,UPI,26586,2688.17,1
10060,2025-03-01,1084,Headphones,South,4,17359,Cash,69436,9381.0,3
10061,2025-03-02,1092,Mouse,North,5,8184,Debit Card,40920,7269.24,4
10062,2025-03-03,1111,Laptop,North,4,91588,Debit Card,366352,74656.05,1
10063,2025-03-04,1188,Smartphone,South,4,1707,Cash,6828,1895.8,3
10064,2025-03-05,1199,Tablet,West,4,46599,UPI,186396,33078.49,3
10065,2025-03-06,1172,Headphones,West,5,67996,Debit Card,339980,59604.92,2
10066,2025-03-07,1008,Smartwatch,West,4,66593,Debit Card,266372,16664.43,5
10067,2025-03-08,1175,Smartphone,West,2,30189,Debit Card,60378,3545.87,1
10068,2025-03-09,1035,Headphones,South,5,49151,UPI,245755,46150.33,2
10069,2025-03-10,1081,Monitor,West,4,14393,UPI,57572,9185.3,4
10070,2025-03-11,1164,Keyboard,East,5,98308,Cash,491540,127699.68,5
10071,2025-03-12,1050,Monitor,West,3,66918,UPI,200754,18101.97,1
10072,2025-03-13,1104,Mouse,North,2,60511,UPI,121022,6806.63,3
10073,2025-03-14,1132,Smartphone,West,4,39135,Credit Card,156540,25400.13,1
10074,2025-03-15,1002,Mouse,South,3,56615,Cash,169845,18575.89,3
10075,2025-03-16,1134,Keyboard,North,3,95571,Debit Card,286713,17891.92,5
10076,2025-03-17,1054,Headphones,South,5,78905,UPI,394525,91194.28,3
10077,2025-03-18,1106,Keyboard,South,3,73202,Debit Card,219606,17106.92,4
10078,2025-03-19,1004,Laptop,North,2,79018,Debit Card,158036,31935.9,3
10079,2025-03-20,1054,Keyboard,South,2,73305,Credit Card,146610,17631.68,4
10080,2025-03-21,1191,Laptop,South,1,59454,UPI,59454,5551.46,5
10081,2025-03-22,1146,Keyboard,West,2,28564,Cash,57128,8280.01,5
10082,2025-03-23,1044,Tablet,East,3,79563,UPI,238689,59758.52,1
10083,2025-03-24,1162,Laptop,South,2,2954,Debit Card,5908,874.52,4
10084,2025-03-25,1190,Smartphone,South,5,21378,Cash,106890,25406.94,4
10085,2025-03-26,1014,Mouse,South,1,51598,UPI,51598,4198.61,2
10086,2025-03-27,1095,Smartwatch,West,3,62654,Debit Card,187962,45711.02,2
